name	bodyOfWater	ors_id	status
69th Street Pier, Bay Ridge	Upper Harbor 	58f79d42e23a596b0e4e588c	Active
69th Street Pier, Bay Ridge	Upper Harbor 	57f7c0088fc301470d444040	Inactive
79th St Boat Basin, Riverside Park	Hudson River	59233f5ee27565b10cabd5b8	Active
79th St Boat Basin, Riverside Park	Hudson River	595d109fb03e33060fe04c2f	Active
79th St Boat Basin, Riverside Park	Hudson River	57b2064e87c05f750ebd61f7	Inactive
79th St Boat Basin, Riverside Park	Hudson River	59f712744461e60fabf7297a	Inactive
Alley Pond Environmental Center, Queens	Little Neck Bay	5a01afe26257c00f982fb441	Inactive
Anable Basin, Long Island City	Anable Basin	595e6c46037942769ecd2878	Active
Anable Basin, Long Island City	Anable Basin	595e71b6037942769ecd2a6e	Active
Anable Basin, Long Island City	Anable Basin	5998fb2f24c98d0a15e901e4	Active
Anable Basin, Long Island City	Anable Basin	57a8bc162f6a7ae00db372cd	Active
Bar Beach, North Hempstead Beach Park	Hempstead Harbor	57f7c1038fc301470d444041	Inactive
Battery Park (east end of promenade)	Upper Harbor	59231c0e0cffb872105757a9	Inactive
Baylander, West Harlem Piers Park	Hudson River	591bc2cd56bdda430eabb73b	Active
Baylander, West Harlem Piers Park	Hudson River	58d5be4ec6f0027a0e28ba5f	Lost
Baylander, West Harlem Piers Park	Hudson River	59d3e50fd9e024597905848c	Inactive
Beczak Science Center, Yonkers	Hudson River	5a09a3fc1101f50f69a966f5	Inactive
Concrete Plant Park, Bronx	Bronx River	59df5a557ab0680f7bf8b03f	Active
Concrete Plant Park, Bronx	Bronx River	57d43513617bf9c536f37d4a	Inactive
Concrete Plant Park, Bronx	Bronx River	58e7bfb9ec3f74820e73784f	Inactive
Concrete Plant Park, Bronx	Bronx River	583ee0bd7411c3a0299c6c40	Inactive
Concrete Plant Park, Bronx	Bronx River	59cfd203b5ad8c0f8b801eaf	Inactive
Costco, Astoria	East River	5821395dd41c107a349a551c	Active
East 107th Street Pier, East Harlem	Harlem River	5944530424e3830f8b271c44	Inactive
East 107th Street Pier, East Harlem	Harlem River	5936ac8f25f6eb0fb9d1bb3d	Inactive
East 111th Street Pier, East Harlem	Harlem River	5827384b8e8084730e0fa4c2	Active
East 111th Street Pier, East Harlem	Harlem River	576d650c76b43b660ee1769b	Active
East 61st and John Finley Walk, Upper East Side	East River	5794e7aa20e580650e067095	Inactive
East 76th and John Finley Walk, Upper East Side	East River	59691ac6dd5fb021763372a1	Active
East 90th Street Ferry Terminal, Upper East Side	East River	57f166ec19cc1edc3249ef34	Inactive
Gantry State Park, Long Island City	East River	59b3fa412a8c047c0dd00a7e	Active
Gantry State Park, Long Island City	East River	57fead25c69cc4820e2bee0c	Inactive
Gantry State Park, Long Island City	East River	5907958d91cb1f850e448b15	Inactive
Gantry State Park, Long Island City	East River	592439dda253e8960e9cf095	Inactive
Groundwork Hudson Valley Science Barge, Yonkers	Hudson River	578fbf3369723c560e30fc88	Inactive
Brooklyn Navy Yard, Harbor School Base	Wallabout Bay	57e3f4af30272b77313e07cf	Active
Brooklyn Navy Yard, Harbor School Base	Wallabout Bay	5a26afc63fde1a0fc4326484	Inactive
Brooklyn Navy Yard, Harbor School Base	Wallabout Bay	59eebdc96cbbb80f9b05de28	Active
IKEA Esplanade, Red Hook	Erie Basin	5793c9bf7b3055600ee931b4	Active
IKEA Esplanade, Red Hook	Erie Basin	5788ef9dd8d647640e938aee	Inactive
IKEA Esplanade, Red Hook	Erie Basin	58090f1c722578117bbf87ea	Inactive
IKEA Esplanade, Red Hook	Erie Basin	58067f4899e0aa6015c190d7	Active
IKEA Esplanade, Red Hook	Erie Basin	58407a2c7411c3a0299c6cc9	Inactive
IKEA Esplanade, Red Hook	Erie Basin	582746aa8e8084730e0fa4e4	Inactive
IKEA Esplanade, Red Hook	Erie Basin	57fc229a7f0a715e0e7af3f9	Inactive
Little Hell Gate, Randalls Island	Harlem River	577f9ed21febd1590e89f8ff	Active
Little Hell Gate, Randalls Island	Harlem River	577f9ef71febd1590e89f900	Inactive
Little Hell Gate, Randalls Island	Harlem River	5a0c6b931101f50f69a986aa	Inactive
Lower East Side Ecology Center, East River Park	East River	58498952f232b5177eb8e1cc	Active
Lower East Side Ecology Center, East River Park	East River	57d429b8617bf9c536f37cbd	Inactive
Marine Basin Marina, Gravesend	Gravesend Bay	57f7b7517a699f1e0a48ae7e	Active
Marine Basin Marina, Gravesend	Gravesend Bay	59f10c985439cd1abefafa33	Inactive
National Lighthouse Museum, St. George	Upper Harbor	57602dc5b58ddfca52c651f9	Inactive
National Lighthouse Museum, St. George	Upper Harbor	59393d751b76d80fa53e2efb	Inactive
National Lighthouse Museum, St. George	Upper Harbor	58077d98527a230a38d48311	
National Lighthouse Museum, St. George	Upper Harbor	592d9d9376c8c00110b25230	Active
North Fifth Street Pier, Williamsburg	East River	57d42ab1617bf9c536f37cbe	Active
Outer Lagoon, Bush Terminal Park	Upper Harbor	5920db50ae78f93c0e420dbb	Active
East 203rd Street, Inwood	Harlem River	581b7951895982cd1c6ad09f	Lost
Peter J. Sharpe Boathouse, Inwood	Harlem River	5857fffef232b5177eb8e614	Inactive
Peter J. Sharpe Boathouse, Inwood	Harlem River	59d673a2f652f1267569621e	Active
Peter J. Sharpe Boathouse, Inwood	Harlem River	58584016f232b5177eb8e689	Inactive
Peter J. Sharpe Boathouse, Inwood	Harlem River	587cee23cc0ff6e83807f8fc	Inactive
Pier 1, Worlds Fair Marina	Flushing Bay	586db4cf195c49c15ebeed2b	Inactive
Pier 1, Worlds Fair Marina	Flushing Bay	57b219d487c05f750ebd6203	Lost
Pier 1, Worlds Fair Marina	Flushing Bay	57ab8e112f6a7ae00db373b1	Active
Pier 101, Governors Island	Buttermilk Channel	591dd8451b5c0b714522b354	Active
Pier 101, Governors Island	Buttermilk Channel	5971082e3b22d02dadc34678	Active
Pier 101, Governors Island	Buttermilk Channel	59d6b5968e89341518e373c6	Active
Pier 101, Governors Island	Buttermilk Channel	5783db851febd1590e89fca6	Active
Pier 101, Governors Island	Buttermilk Channel	59e7b49c6501ce167dec3613	Active
Pier 101, Governors Island	Buttermilk Channel	57530ae9056d32e01aad765a	does_not_exist
Pier 15, South Street Seaport	East River	597759cfdb83c37a9842a951	Inactive
Pier 26, Hudson River Park	Hudson River	577c252f142d10a9264d6a76	Active
Pier 26, Hudson River Park	Hudson River	57dd424d8ddfa3892c7abe58	Inactive
Pier 40, Hudson River Park	Hudson River	577c250d142d10a9264d6a75	Active
Pier 40, Hudson River Park	Hudson River	577c2566142d10a9264d6a77	Active
Pier 40, Hudson River Park	Hudson River	5956b112c172ef26945e670b	Active
Pier 40, Hudson River Park	Hudson River	57ffdcd5c69cc4820e2bef58	Active
Pier 40, Hudson River Park	Hudson River	59d014f6b5ad8c0f8b802939	Active
Pier 40, Hudson River Park	Hudson River	5951cdde5a69e70f93c1ae9e	Active
Pier 40, Hudson River Park	Hudson River	5808d405722578117bbf8726	Inactive
Pier 40, Hudson River Park	Hudson River	57daccc85d182ae461b49ad7	Inactive
Pier 40, Hudson River Park	Hudson River	57d4333b617bf9c536f37d3e	Inactive
Pier 5, Brooklyn Bridge Park	East River	57583c780de02d6d4a1c4ef5	Inactive
Pier 5, Brooklyn Bridge Park	East River	57af61352f6a7ae00db37480	Inactive
Pier 5, Brooklyn Bridge Park	East River	5756f456056d32e01aad76a5	Inactive
Pier 5, Brooklyn Bridge Park	East River	590c897991cb1f850e448ce0	Active
Pier 5, Brooklyn Bridge Park	East River	578428db1febd1590e89fd0c	Inactive
Pier 5, Brooklyn Bridge Park	East River	5759815bed4268545afebc5c	Inactive
Pier 5, Brooklyn Bridge Park	East River	57f7c6298fc301470d444089	Inactive
Pier 5, Brooklyn Bridge Park	East River	5a1c4580bb012a0fb6bd745a	Inactive
Pier 5, Brooklyn Bridge Park	East River	586d5db7195c49c15ebeed05	Inactive
Pier 5, Brooklyn Bridge Park	East River	57f7b70f7a699f1e0a48ae7c	Inactive
Pier 5, Brooklyn Bridge Park	East River	580434e44c53df610ec2335a	Inactive
Pier 5, Brooklyn Bridge Park	East River	59f8e27451217713a4ea40cc	Inactive
Pier 5, Brooklyn Bridge Park	East River	57f7c78a8fc301470d444092	Inactive
Pier 66, Hudson River Park	Hudson River	57d43391617bf9c536f37d41	Inactive
Pier 66, Hudson River Park	Hudson River	57d433ce617bf9c536f37d43	Inactive
Pier A, Battery Park	Upper Harbor	5760414b24dea823154eaf72	Retired
Pier A, Battery Park	Upper Harbor	57f5250c19cc1edc3249ef79	Inactive
Pier I, Riverside Park	Hudson River	576455e5e7ff550537f2d6aa	Inactive
Richmond County Yacht Club, Great Kills	Great Kills Harbor	580127d0c69cc4820e2bf189	Inactive
Richmond County Yacht Club, Great Kills	Great Kills Harbor	59b1a93d2a8c047c0dd0062a	Active
Richmond County Yacht Club, Great Kills	Great Kills Harbor	57ab7e942f6a7ae00db3736c	Inactive
Rye Boat Basin	Milton Harbor	576aa5ede7ff550537f2d701	Active
Rye Boat Basin	Milton Harbor	59f236dd75b9ac0fa531799c	Active
Sebago Canoe Club, Canarsie	Jamaica Bay (Paerdegat Basin)	5a1c6e08bb012a0fb6bd7934	Inactive
East 203rd Street, Inwood	Harlem River	58236d71d41c107a349a564c	Lost
Stuyvesant Cove Park, Peter Cooper Village	East River	592dc109fd01408609c8fd50	Active
Stuyvesant Cove Park, Peter Cooper Village	East River 	5a4fd30236dae5226256178e	Active
Stuyvesant Cove Park, Peter Cooper Village	East River	57f7c6488fc301470d44408b	Inactive
Stuyvesant Cove Park, Peter Cooper Village	East River 	59ea2f4397c577235a4959cb	Destroyed
SUNY Maritime, Throgs Neck	East River	58bd8d209e4a962862ed1e41	Active
SUNY Maritime, Throgs Neck	East River	58bd8e019e4a962862ed1e46	Active
SUNY Maritime, Throgs Neck	East River	5a145f668957ff035c24b18d	Inactive
SUNY Maritime, Throgs Neck	East River	57f7bf6b3fbeab1c0dc498b1	Inactive
SUNY Maritime, Throgs Neck	East River	58e65aafec3f74820e73776d	Inactive
SUNY Maritime, Throgs Neck	East River	5757373d4d920cae71944ed8	Inactive
SUNY Maritime, Throgs Neck	East River	57c9b46c7bf4b87b0e61f735	Inactive
SUNY Maritime, Throgs Neck	East River	57c9b57b7bf4b87b0e61f736	Inactive
SUNY Maritime, Throgs Neck	East River	57c9b5ae7bf4b87b0e61f737	Inactive
SUNY Maritime, Throgs Neck	East River	59717a50a83fbf4f84b2e673	Inactive
Tarrytown Marina, Tarrytown	Hudson River	588b6eba7a4eabb2171ffe36	Inactive
Theodore Roosevelt Memorial Park	Oyster Bay	57f7bfd88fc301470d44403f	Active
Theodore Roosevelt Memorial Park	Oyster Bay	57f7c2fb8fc301470d444050	Inactive
Town dock, Hastings on Hudson	Hudson River	578fbfd069723c560e30fc89	Inactive
Transmitter Park, Greenpoint	East River	575729524d920cae71944ed1	Active
Transmitter Park, Greenpoint	East River	5793ce7f7b3055600ee93309	Active
Transmitter Park, Greenpoint	East River	57eafc1dab5be4f36908ecad	Inactive
Unspecified	The Narrows Bay	58001f2fc69cc4820e2bef68	Active
Unspecified	Red Hook Channel	59d2db93d9e0245979058345	Inactive
Unspecified	East River	57d423f1617bf9c536f37c72	Inactive
Unspecified	East River	580d08bb722578117bbf8a41	Inactive
Unspecified	Hudson	5775685d55656f7a0e82485c	Inactive
Unspecified	Hudson	57d42b12617bf9c536f37cc1	Inactive
Unspecified	Jamaica Bay	58349681e5b1443821082acb	Inactive
Unspecified	Hudson River	57f7b6e87a699f1e0a48ae7b	Inactive
Unspecified	New York Harbor	576adcbde7ff550537f2d708	Inactive
Unspecified	New York Harbor	576ab534e7ff550537f2d705	Inactive
Unspecified	Hudson	57d55d42617bf9c536f37d68	Inactive
Unspecified	Harlem River	590254beb1542b585aa6bf9f	Inactive
Unspecified	Harlem River	57f7c1a58fc301470d444044	Inactive
Unspecified	Northport Harbor	57f7c1c88fc301470d444046	Inactive
Unspecified	East River	57fe86f1c69cc4820e2bede6	Inactive
Unspecified	Flushing Bay	5869b20d195c49c15ebeec8f	Lost
Unspecified	Flushing Bay	5869b2e5195c49c15ebeec90	Active
Unspecified	Hudson River	59380d8b1634fb0fefc2a42d	Inactive
Unspecified	East River	57d4252e617bf9c536f37ca4	does_not_exist
Unspecified	NY Harbor	57f7b7527a699f1e0a48ae7f	Inactive
Unspecified	Jamaica Bay	576586efe7ff550537f2d6e4	Inactive
Unspecified	Jamaica Bay	590255d3b1542b585aa6bfc5	Inactive
Unspecified	Hudson River	5a514e3d2d30ce1fe0a79055	Inactive
Valentino Pier, Red Hook	Upper Harbor	57f7cddb8fc301470d4440ae	Inactive
Vernon Boulevard, Long Island City	Newtown Creek	57f7c5ff8fc301470d444088	Inactive
Brooklyn Navy Yard, Rowing Dock	Wallabout Channel	595048d24b16da37d15a041f	Active
Brooklyn Navy Yard, Rowing Dock	Wallabout Channel	57f7bfc18fc301470d44403d	Active
Brooklyn Navy Yard, Harbor School Base	Wallabout Bay	57f7c6398fc301470d44408a	Inactive
Brooklyn Navy Yard, Rowing Dock	Wallabout Channel	57f7c5bf8fc301470d444085	Inactive
West 22nd Street, Coney Island	Coney Island Creek	57ffc301c69cc4820e2bef16	Destroyed
West 88th Street, Riverside Park	Hudson River	57f7c5f48fc301470d444087	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	5819f31826915e7a0e4c1779	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	57a9140b2f6a7ae00db372ee	Active
Whole Foods Esplanade, Gowanus	Gowanus Canal	57f7b7317a699f1e0a48ae7d	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	57f52d1119cc1edc3249ef9a	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	5806253c4885e2a854c8dd3f	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	57f7b91d7a699f1e0a48aea9	Inactive
Whole Foods Esplanade, Gowanus	Gowanus Canal	594a6bc30824aa41c675e667	Inactive
		5a986d5bcf3e6d22381d1fb2	Active
		5a8ef0f2d691101a5d069920	Active
